product_code,tech,role,stage,exports_kusd,name,year
841290,Wind,Product Component,Downstream,10969.093,Rotor / Blades,2024
842691,Wind,Process Equipment,Downstream,25963.911999999997,Lifting of Components/Turbine,2024
847989,Wind,Product Component,Midstream,329780.053,Module-Pack Assembly; Module Assembly,2024
848210,Wind,Product Component,Midstream,34464.901,Bearings,2024
848310,Wind,Product Component,Midstream,207454.19199999995,Nacelle; Transmission Shafts,2024
848330,Wind,Product Component,Midstream,71795.927,Nacelle; Bearing Housing Without Ball or Roller Bearing and Plain Shaft Bearing,2024
848340,Wind,Product Component,Downstream,114897.68399999998,Nacelle; Gearbox,2024
848360,Wind,Product Component,Midstream,9833.128999999999,Nacelle; Clutches and Shaft Couplings,2024
853650,Wind,Product Component,Midstream,49748.72899999999,"Wind Substation: Electrical Switches, Voltage ≤ 1000V",2024
390110,Wind,Processed Material,Midstream,467993.08699999977,Tower; Ethylene Polymers for Use in Tower Cable Cores,2024
790111,Wind,Processed Material,Midstream,221703.251,Zinc (Refined) 99% Pure,2024
844630,Wind,Process Equipment,Midstream,699.564,Wind Capital Good; Shuttle-less Looms,2024
854370,Wind,Product Component,Midstream,79837.90100000003,Bi-Polar Plate; Physical Vapour Deposition,2024
260200,Wind,Raw Material,Upstream,88371.12100000001,Manganese Ore,2024
260600,Wind,Raw Material,Upstream,241142.81399999998,Bauxite Ore,2024
261000,Wind,Raw Material,Upstream,4972.585,Chromium Ore,2024
281820,Wind,Processed Material,Midstream,3353569.0030000005,Current Collector; Alumina,2024
290949,Wind,Processed Material,Midstream,6507.873,Tower; Industrial Alcohols for Use in Tower,2024
350691,Wind,Processed Material,Midstream,48686.27500000001,Rotor; Adhesive for Use in Rotor,2024
390210,Wind,Processed Material,Midstream,143663.61800000002,Separator; Polypropylene,2024
390791,Wind,Processed Material,Midstream,19394.875,Rotor; Materials for Use in Rotor (Polyester),2024
391721,Wind,Processed Material,Midstream,3616.438,Wind Turbine Joints Ethylene,2024
391722,Wind,Processed Material,Midstream,1179.531,Wind Turbine Joints Propylene,2024
391723,Wind,Processed Material,Midstream,2270.382,Wind Turbine Joints Vinyl Chloride,2024
391732,Wind,Processed Material,Midstream,33674.597,Wind Turbine Joints (Flexible Plastic),2024
392590,Wind,Product Component,Midstream,11196.637999999999,"Bearings; Cable Trays, Tracks, Clamps, and Supports to Protect Electrical Items",2024
392590,Wind,Processed Material,Midstream,11196.637999999999,"Bearings; Cable Trays, Tracks, Clamps, and Supports to Protect Electrical Items",2024
401699,Wind,Processed Material,Midstream,89303.39200000004,Tower: Vulcanised Rubber Articles for Cable Accessory & Joints,2024
681599,Wind,Processed Material,Midstream,8953.429,Rotor; Materials for Use in Rotor,2024
730640,Wind,Product Component,Midstream,8683.892,"Tower; Stainless Steel Welded Tubes, Pipes, and Hollow Profiles of Circular Cross-section",2024
730791,Wind,Product Component,Midstream,3387.41,Flanges,2024
730799,Wind,Product Component,Midstream,9428.185000000001,"Tower; Iron or Non-stainless Steel Tube or Pipe Fittings, Flanges (2)",2024
730820,Wind,Product Component,Downstream,25639.974000000002,Tower,2024
732399,Wind,Product Component,Midstream,3038.4829999999997,Nacelle; Small Engineering Components of Iron or Steel,2024
760429,Wind,Product Component,Midstream,18487.979,"Tower; Non-hollow Aluminium Alloys, Bars, Rods for Cable Core",2024
820900,Wind,Processed Material,Midstream,2140.448,Rotor; Materials for Use in Rotor (Sintered Metal),2024
841221,Wind,Product Component,Downstream,62281.43600000001,Rotor; Motor (Linear Acting),2024
841229,Wind,Product Component,Downstream,7827.5,Rotor; Motor (Non Linear Acting),2024
842890,Wind,Process Equipment,Downstream,12010.942,Core Production; Core Assembly/Stacking,2024
846039,Wind,Process Equipment,Midstream,306.081,Wind Capital Good; Machine Tools Used to Finish Metal,2024
848220,Wind,Product Component,Midstream,23848.847,Nacelle; Tapered Roller Bearings for Gearbox,2024
848230,Wind,Product Component,Midstream,1580.521,Nacelle; Spherical Roller Bearings for Gearbox,2024
848240,Wind,Product Component,Midstream,7237.314,Tower; Needle Roller Bearings,2024
848250,Wind,Product Component,Midstream,15257.740000000002,Nacelle; Cylindrical Roller Bearings for Gearbox,2024
848280,Wind,Product Component,Midstream,1764.159,Bearings; Ball or Roller Bearings,2024
848299,Wind,Product Component,Midstream,11758.248,"Nacelle; Bearing Parts Excluding Balls, Needles and Rollers",2024
850161,Wind,Product Component,Downstream,3942.1059999999998,Nacelle; Motor <75 kVA,2024
850162,Wind,Product Component,Downstream,12037.098000000002,Nacelle; Motor 75kVA - 375kVA,2024
850163,Wind,Product Component,Downstream,7370.254,Nacelle; Motor 375kVA -  750kVA,2024
850164,Wind,Product Component,Downstream,33933.80099999999,Nacelle; Motor > 750kVA,2024
850300,Wind,Product Component,Downstream,142124.28399999999,Nacelle; Motor (Miscellaneous Parts),2024
850431,Wind,Product Component,Midstream,8479.411,Electrical transformers 1< kVA,2024
850519,Wind,Product Component,Downstream,427.351,Permanent Magnet Components,2024
854390,Wind,Product Component,Midstream,5882.346,Wind Substation: Parts of Electrical Goods,2024
854411,Wind,Processed Material,Midstream,46455.604,Nacelle; Copper Wire for Use in Nacelle,2024
854460,Wind,Product Component,Midstream,58777.295000000006,"Wind Substation: Insulated Electric Conductors, Voltage > 1000V",2024
902580,Wind,Product Component,Midstream,3002.6449999999995,Nacelle; Thermocouples in the Control System,2024
902680,Wind,Product Component,Midstream,9083.069,Nacelle; Apparatus for Measuring or Checking Liquid or Gas Variables,2024
902830,Wind,Product Component,Midstream,4686.383999999999,Nacelle; Electricity Supply or Production Meters,2024
902920,Wind,Product Component,Midstream,18585.967,"Nacelle; Speed Indicators, Tachometers, Stroboscopes",2024
903190,Wind,Process Equipment,Downstream,4320.341,Electrode Production; Quality Control,2024
760110,Wind,Processed Material,Midstream,962249.4039999999,Tower; Unwrought Aluminium for Use in Tower,2024
260300,Wind,Raw Material,Upstream,4170906.9540000004,Copper Ore,2024
261310,Wind,Raw Material,Upstream,16903.343999999997,Molybdenum Ore,2024
260400,Wind,Raw Material,Upstream,231029.502,Nickel Ore,2024
681511,Wind,Processed Material,Midstream,156.4,Rotor; Materials for Use in Rotor (Carbon Fibre),2024
850231,Wind,Final Product,Final Product,4850.169,Wind Turbines,2024
260800,Wind,Raw Material,Upstream,193488.935,Zinc Ore,2024
261400,Wind,Raw Material,Upstream,10143.332,Titanium Ore,2024
261390,Wind,Raw Material,Upstream,1028.381,Molybdenum Ore,2024
845430,Wind,Process Equipment,Midstream,670.759,Metal Casting Machines,2024
220720,Biofuel,Final Product,Final Product,181794.17399999997,Ethyl Alcohol (Denatured),2024
840490,Biofuel,Process Equipment,Downstream,8575.655,CO2 Reduction (Gas); Condenser,2024
841381,Biofuel,Process Equipment,Downstream,5952.076,Conveyance of Product; Pumps,2024
842121,Biofuel,Process Equipment,Downstream,207342.99000000002,Conveyance of Product; Flash Drums,2024
840211,Biofuel,Process Equipment,Midstream,12111.760999999999,High Pressure Steam Boilers,2024
841430,Biofuel,Process Equipment,Downstream,276568.04300000006,Compressor,2024
151329,Biofuel,Raw Material,Upstream,2255.436,Feedstock Input; Palm Oil,2024
260600,Biofuel,Raw Material,Upstream,241142.81399999998,Bauxite Ore,2024
281122,Biofuel,Processed Material,Midstream,33823.01399999999,CO2 Reduction (Gas); Silica Gels,2024
281820,Biofuel,Processed Material,Midstream,3353569.0030000005,Current Collector; Alumina,2024
281830,Biofuel,Processed Material,Midstream,276678.435,Catalyst Input; Aluminum Hydroxide,2024
282200,Biofuel,Processed Material,Midstream,3139.185,"CAM; Electrolytic Cobalt, LCO (Lithium Cobalt Oxide)",2024
282300,Biofuel,Processed Material,Midstream,123.334,Catalyst Input; Titanium Oxides,2024
283650,Biofuel,Processed Material,Midstream,9911.764,CO2 Reduction (Liquid); CACO3 Pellets,2024
290511,Biofuel,Processed Material,Midstream,1857.51,Intermediate Input; Methanol,2024
290514,Biofuel,Processed Material,Midstream,12156.057999999999,Intermediate Input; Butanol,2024
291814,Biofuel,Processed Material,Midstream,19107.659999999996,Deodorization; Citric Acid,2024
380210,Biofuel,Processed Material,Midstream,3473.596,CO2 Reduction (Gas); Activated Carbon,2024
381512,Biofuel,Processed Material,Midstream,39638.630000000005,Platinum Group Metal Catalyst,2024
381519,Biofuel,Processed Material,Midstream,390.34900000000005,"Various Catalysts; Ti-Catalyst, Co-Mo Catalyst, Zi-Catalyst",2024
381590,Biofuel,Processed Material,Midstream,38448.70600000001,Aluminosilicates,2024
690220,Biofuel,Processed Material,Midstream,12378.962,Catalyst; Al2O3,2024
841410,Biofuel,Process Equipment,Midstream,14553.085000000001,Vacuum Pumps,2024
841939,Biofuel,Process Equipment,Midstream,41622.47200000001,Electrode Production; Drying,2024
841940,Biofuel,Process Equipment,Downstream,5067.784,Production Separation; Atmospheric Distillation Column,2024
841950,Biofuel,Process Equipment,Downstream,173605.918,Conveyance of Product; Plate Heat Exchangers,2024
842139,Biofuel,Process Equipment,Downstream,159936.56,Vapor-liquid Separator,2024
150790,Biofuel,Raw Material,Upstream,163790.441,Feedstock Input; Soybean Oil,2024
261100,Biofuel,Raw Material,Upstream,3976.953,Tungsten Ore,2024
261310,Biofuel,Raw Material,Upstream,16903.343999999997,Molybdenum Ore,2024
282560,Biofuel,Processed Material,Midstream,107.954,Catalyst Input; Zirconium Dioxide,2024
382600,Biofuel,Final Product,Final Product,53194.329000000005,Biodiesel,2024
260400,Biofuel,Raw Material,Upstream,231029.502,Nickel Ore,2024
261400,Biofuel,Raw Material,Upstream,10143.332,Titanium Ore,2024
261510,Biofuel,Raw Material,Upstream,8872.598,Zirconium Ore,2024
440122,Biofuel,Raw Material,Upstream,170347.457,Feedstock Input; Forestry Product,2024
151521,Biofuel,Raw Material,Upstream,51183.098999999995,Feedstock Input: Corn Oil,2024
121300,Biofuel,Raw Material,Upstream,1306.964,Feedstock Input; Ag-Waste,2024
