tech,hs_code,description,category,shap_mean_z
Electrolyzers,841480,"Pumps and compressors; for air, vacuum or gas, n.e.s. in heading no. 8414",Machinery,0.7119859092810059
Electrolyzers,NA,gdp_z,Non-HS,0.7036164911649521
Electrolyzers,390710,Polyacetals; in primary forms,Chemicals,0.6961345806981002
Electrolyzers,NA,pop_z,Non-HS,0.6637772416894654
Electrolyzers,381512,"Catalysts, supported; reaction initiators, reaction accelerators and catalytic preparations, with precious metal or precious metal compounds as the active substance, n.e.s. or included",Chemicals,0.661229789659766
Electrolyzers,842121,Machinery; for filtering or purifying water,Machinery,0.6518779807425141
Electrolyzers,841370,"Pumps; centrifugal, n.e.s. in heading no. 8413, for liquids",Machinery,0.645843797940156
Electrolyzers,841490,"Pumps and compressors; parts, of air or vacuum pumps, air or other gas compressors and fans, ventilating or recycling hoods incorporating a fan",Machinery,0.6452690669620335
Electrolyzers,381519,"Catalysts, supported; reaction initiators, reaction accelerators and catalytic preparations, with an active substance other than nickel or precious metals or their compounds, n.e.s. or included",Chemicals,0.6420943707157897
Electrolyzers,711021,"Metals; palladium, unwrought or in powder form",Metals,0.642075288851713
Electrolyzers,842139,"Machinery; for filtering or purifying gases, other than intake air filters for internal combustion engines",Machinery,0.6374292667367779
Electrolyzers,NA,fdi_z,Non-HS,0.6236917097407069
Electrolyzers,283324,Sulphates; of nickel,Chemicals,0.6185431725904137
Electrolyzers,711031,"Metals; rhodium, unwrought or in powder form",Metals,0.6184809011320425
Electrolyzers,711011,"Metals; platinum, unwrought or in powder form",Metals,0.5888463820552933
Electrolyzers,870892,"Vehicles; parts, silencers and exhaust pipes",Machinery,0.5810749918640742
Electrolyzers,391400,"Ion-exchangers; based on polymers of heading no. 3901 to 3913, in primary forms",Chemicals,0.577075990237319
Electrolyzers,841869,"Refrigerating or freezing equipment; heat pumps, other than compression type units whose condensers are heat exchangers",Machinery,0.5770474699489614
Electrolyzers,390290,"Propylene, other olefin polymers; n.e.s. in heading no. 3902, in primary forms",Chemicals,0.5677459922913778
Electrolyzers,291614,Acids; unsaturated acyclic monocarboxylic acids; esters of methacrylic acid,Chemicals,0.5603551033622568
Electrolyzers,391190,"Polysulphides, polysulphones and similar products of chemical synthesis n.e.s. in chapter 39; in primary forms",Chemicals,0.5599726525111838
Electrolyzers,NA,mfg_z,Non-HS,0.5590451255189334
Electrolyzers,711041,"Metals; iridium, osmium, ruthenium, unwrought or in powder form",Metals,0.5576942178295807
Electrolyzers,284330,Gold compounds,Chemicals,0.5572423104508719
Electrolyzers,390190,"Ethylene polymers; in primary forms, n.e.s. in heading no. 3901",Chemicals,0.5571903356424897
Electrolyzers,841939,"Dryers; for products n.e.s. in heading no. 8419, not used for domestic purposes",Machinery,0.5569157418089196
Electrolyzers,282200,Cobalt oxides and hydroxides; commercial cobalt oxides,Chemicals,0.55237494154684
Electrolyzers,391000,Silicones; in primary forms,Chemicals,0.5514153597233974
Electrolyzers,391110,"Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes; in primary forms",Chemicals,0.5470064106246464
Electrolyzers,841899,"Refrigerating or freezing equipment; parts thereof, other than furniture",Machinery,0.5405608821837015
Electrolyzers,841861,Refrigerating or freezing equipment; compression type units whose condensers are heat exchangers,Machinery,0.5398452733579011
Electrolyzers,261100,Tungsten ores and concentrates,Metals,0.539682399140345
Electrolyzers,851430,"Furnaces and ovens; industrial or laboratory, other than those functioning by induction, dielectric loss or resistance heated",Electronics,0.5379835891289703
Electrolyzers,846241,"Machine-tools; punching or notching machines (including presses), including combined punching and shearing machines, numerically controlled, for working metal",Machinery,0.536269164021873
Electrolyzers,847982,"Machines; for mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring",Machinery,0.5353476515268281
Electrolyzers,847790,Machinery; parts of those for working rubber or plastics,Machinery,0.5339010595015515
Electrolyzers,390469,"Halogenated olefin polymers; fluoro-polymers (other than polytetrafluoroethylene), in primary forms",Chemicals,0.5325706775184241
Electrolyzers,845811,"Lathes; for removing metal, horizontal, numerically controlled",Machinery,0.5321208329054531
Electrolyzers,261400,Titanium ores and concentrates,Metals,0.5224846137755439
Electrolyzers,810110,"Tungsten (wolfram); articles thereof, including waste and scrap, powders",Metals,0.5224745097297917
Electrolyzers,848071,"Moulds; for rubber or plastics, injection or compression types",Machinery,0.5141664696310734
Electrolyzers,NA,industry_gdp_z,Non-HS,0.5116636142224229
Electrolyzers,847981,"Machines and mechanical appliances; for treating metal, including electric wire coil-winders",Machinery,0.5106830916461675
Electrolyzers,370130,"Photographic plates and film; in the flat, sensitised, unexposed, with any side exceeding 225mm, of any materials other than paper, paperboard or textiles",Chemicals,0.5059054304706312
Electrolyzers,860799,Railway or tramway rolling stock; parts n.e.s. in heading no. 8607,Machinery,0.5046597144499553
Electrolyzers,848041,"Moulds; for metal or metal carbides, injection or compression types",Machinery,0.5040461437171202
Geothermal,722490,"Steel, alloy; semi-finished products",Metals,0.7247492083657887
Geothermal,842199,Machinery; parts for filtering or purifying liquids or gases,Machinery,0.7137769074848291
Geothermal,845931,"Machine-tools; for boring-milling by removing metal, numerically controlled",Machinery,0.7132070285430876
Geothermal,845891,"Lathes; for removing metal, numerically controlled, other than horizontal lathes",Machinery,0.6969969821461244
Geothermal,851580,"Welding machines and apparatus; n.e.s. in heading no. 8515, whether or not capable of cutting",Electronics,0.694090233090367
Geothermal,845811,"Lathes; for removing metal, horizontal, numerically controlled",Machinery,0.6937792284716878
Geothermal,720270,Ferro-alloys; ferro-molybdenum,Metals,0.6911409654397805
Geothermal,842139,"Machinery; for filtering or purifying gases, other than intake air filters for internal combustion engines",Machinery,0.6875620510382415
Geothermal,730721,"Steel, stainless; tube or pipe fittings, flanges, of stainless steel",Metals,0.6803850302741015
Geothermal,401693,"Rubber; vulcanised (other than hard rubber), gaskets, washers and other seals, of non-cellular rubber",Chemicals,0.6799501035198482
Geothermal,390710,Polyacetals; in primary forms,Chemicals,0.6779208324544218
Geothermal,840999,Engines; parts for internal combustion piston engines (excluding spark-ignition),Machinery,0.6669110191160945
Geothermal,NA,gdp_z,Non-HS,0.6616094191421472
Geothermal,848190,"Taps, cocks, valves and similar appliances; parts thereof",Machinery,0.6607589458496088
Geothermal,851490,"Furnaces, ovens and heating equipment; parts of the industrial or laboratory equipment of heading no. 8514",Electronics,0.6560451780614792
Geothermal,845961,"Machine-tools; for milling by removing metal, (not knee-type), numerically controlled",Machinery,0.6477559587325197
Geothermal,840690,Turbines; parts of steam and other vapour turbines,Machinery,0.6381056902309964
Geothermal,845699,"Machine tools; operated by electro-chemical, electron-beam, ionic beam or plasma-arc processes, other than for dry-etching patterns on semiconductor materials",Machinery,0.6345130487492129
Geothermal,846630,"Machine-tools; parts and accessories, dividing heads and other special attachments for machine-tools",Machinery,0.6310083905553983
Geothermal,340319,"Lubricating preparations; (other than for the treatment of textile and similar materials), containing less than 70% (by weight) of petroleum oils or oils obtained from bituminous minerals",Chemicals,0.6274410604798334
Geothermal,845430,Casting machines; of a kind used in metallurgy or in metal foundries,Machinery,0.6250778606304694
Geothermal,730791,"Iron or steel; tube or pipe fittings, flanges, other than stainless steel",Metals,0.6206479078901888
Geothermal,722850,"Steel, alloy; bars and rods, cold-formed or cold-finished",Metals,0.6053042325651179
Geothermal,846021,"Machine-tools; grinding machines (other than flat-surface), in which positioning in any one axis can be set up to at least an accuracy of 0.01mm, numerically controlled",Machinery,0.6047876667815253
Geothermal,252330,"Cement; aluminous (ciment fondu), whether or not coloured or in the form of clinkers",Industrial Materials,0.6046006728290475
Geothermal,401699,"Rubber; vulcanised (other than hard rubber), articles n.e.s. in heading no. 4016, of non-cellular rubber",Chemicals,0.6020871839381791
Geothermal,841989,"Machinery, plant and laboratory equipment; for treating materials by change of temperature, other than for making hot drinks or cooking or heating food",Machinery,0.6013264986518794
Geothermal,851531,"Welding machines and apparatus; for arc (including plasma arc) welding of metals, fully or partly automatic, whether or not capable of cutting",Electronics,0.6012676829755675
Geothermal,843049,Boring and sinking machinery; not self-propelled,Machinery,0.600644300842522
Geothermal,841391,Pumps; parts thereof,Machinery,0.5891374938393674
Geothermal,848210,Ball bearings,Machinery,0.5881623086348012
Geothermal,731815,"Iron or steel; threaded screws and bolts n.e.s. in item no. 7318.1, whether or not with their nuts or washers",Metals,0.5790255776937822
Geothermal,722410,"Steel, alloy; ingots and other primary forms",Metals,0.5786439686271231
Geothermal,870899,"Vehicles; parts and accessories, n.e.s. in heading no. 8708",Machinery,0.5764396538913578
Geothermal,843143,Boring or sinking machinery; parts of the machinery of item no. 8430.41 or 8430.41,Machinery,0.5756290259434707
Geothermal,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",Industrial Materials,0.5727176656743926
Geothermal,845951,"Machine-tools; for milling by removing metal, knee-type, numerically controlled",Machinery,0.5649776207980347
Geothermal,870829,"Vehicles; parts and accessories, of bodies, other than safety seat belts",Machinery,0.5611080890957747
Geothermal,846210,"Machine-tools; forging or die-stamping machines (including presses) and hammers, for working metal",Machinery,0.5588966022977649
Geothermal,720211,"Ferro-alloys; ferro-manganese, containing by weight more than 2% of carbon",Metals,0.5507073173958493
Geothermal,271114,"Petroleum gases and other gaseous hydrocarbons; liquefied, ethylene, propylene, butylene and butadiene",Industrial Materials,0.5478407728708967
Geothermal,846090,"Machine-tools; for deburring, polishing or otherwise finishing metal, sintered metal carbides or cermets by means of grinding stones, abrasives or polishing products, n.e.s. in heading no. 8460",Machinery,0.5470990229840267
Geothermal,720610,Iron or non-alloy steel; ingots (excluding iron of heading no. 7203),Metals,0.5425066839326241
Geothermal,NA,fdi_z,Non-HS,0.5368177626495202
Geothermal,400249,"Rubber; synthetic, chloroprene (chlorobutadiene) rubber (CR), (other than latex), in primary forms or in plates, sheets or strip",Chemicals,0.5315971544802147
Geothermal,732620,Iron or steel; wire articles,Metals,0.5302847191152108
Geothermal,820719,"Tools, interchangeable; rock drilling or earth boring tools, with working part (other than of cermets), whether or not power operated, including parts",Metals,0.526214483341701
Geothermal,842641,"Cranes; self-propelled derricks and cranes, on tyres, n.e.s. in heading no. 8426",Machinery,0.5258793387559528
Geothermal,271000,N/A,Industrial Materials,0.5255347378830434
