year,tech,role,stage,exports,imports,balance
2012,Batteries,Process Equipment,Downstream,580494.2896666673,2282029.1316666654,-1701534.841999998
2012,Batteries,Process Equipment,Midstream,38282.39433333333,678909.3803333332,-640626.9859999998
2012,Batteries,Raw Material,Upstream,37131062.64199998,684556.487,36446506.15499998
2012,Batteries,Final Product,Final Product,5704.969666666667,309800.23366666667,-304095.264
2012,Batteries,Product Component,Downstream,3262.522333333333,8018.900333333333,-4756.378000000001
2013,Batteries,Processed Material,Midstream,2697257.2529999996,1338948.2650000001,1358308.9879999994
2013,Batteries,Product Component,Midstream,249093.49699999997,776353.6143333333,-527260.1173333334
2013,Batteries,Process Equipment,Downstream,299649.57966666576,2381284.132666667,-2081634.5530000012
2013,Batteries,Process Equipment,Midstream,39905.31333333332,333248.11833333335,-293342.80500000005
2013,Batteries,Raw Material,Upstream,38202031.29500002,1126599.4179999998,37075431.87700002
2013,Batteries,Product Component,Downstream,2898.314,10590.675666666666,-7692.361666666666
2013,Batteries,Final Product,Final Product,4814.558666666666,356455.6526666667,-351641.09400000004
2014,Batteries,Processed Material,Midstream,3104115.335999999,1350493.9270000001,1753621.408999999
2014,Batteries,Product Component,Midstream,245308.44133333338,765663.8346666668,-520355.3933333334
2014,Batteries,Process Equipment,Downstream,247866.48666666634,2192695.6978333346,-1944829.2111666682
2014,Batteries,Raw Material,Upstream,31668393.008999974,1070612.97,30597780.038999975
2014,Batteries,Process Equipment,Midstream,79181.36533333336,458618.80016666674,-379437.43483333336
2014,Batteries,Final Product,Final Product,8741.465000000002,354510.50266666664,-345769.0376666666
2014,Batteries,Product Component,Downstream,3244.1176666666665,7314.803333333333,-4070.6856666666667
2015,Batteries,Process Equipment,Downstream,184792.88000000003,1734924.029000001,-1550131.149000001
2015,Batteries,Raw Material,Upstream,20580124.369999994,958758.597,19621365.772999994
2015,Batteries,Processed Material,Midstream,3220512.2859999975,952123.066,2268389.2199999974
2015,Batteries,Product Component,Midstream,185659.0656666666,690963.7643333334,-505304.69866666675
2015,Batteries,Process Equipment,Midstream,21791.631999999998,217971.4759999999,-196179.84399999992
2015,Batteries,Final Product,Final Product,4999.944666666668,234085.7553333333,-229085.81066666663
2015,Batteries,Product Component,Downstream,3380.841333333333,13164.303666666667,-9783.462333333333
2016,Batteries,Product Component,Midstream,187592.46100000004,632801.736,-445209.275
2016,Batteries,Process Equipment,Downstream,302532.32566666737,1470464.8918333342,-1167932.5661666668
2016,Batteries,Raw Material,Upstream,18823885.968999997,752690.857,18071195.111999996
2016,Batteries,Processed Material,Midstream,2983642.3010000004,822458.926,2161183.3750000005
2016,Batteries,Process Equipment,Midstream,32912.64233333333,200610.3751666667,-167697.73283333337
2016,Batteries,Final Product,Final Product,2937.7456666666667,210762.42133333336,-207824.6756666667
2016,Batteries,Product Component,Downstream,4358.344,13743.937000000002,-9385.593
2017,Batteries,Product Component,Midstream,216252.80633333322,625981.5633333334,-409728.7570000001
2017,Batteries,Process Equipment,Downstream,227094.77391666634,988404.9220833326,-761310.1481666663
2017,Batteries,Process Equipment,Midstream,15199.772166666664,81540.71566666667,-66340.94350000001
2017,Batteries,Raw Material,Upstream,23500765.70100001,886153.127,22614612.57400001
2017,Batteries,Processed Material,Midstream,3083205.3099999996,545564.1909999999,2537641.119
2017,Batteries,Final Product,Final Product,769.9625,269864.40750000003,-269094.445
2017,Batteries,Product Component,Downstream,5342.921666666666,7754.700666666667,-2411.7790000000005
2018,Batteries,Raw Material,Upstream,25022901.99099999,785719.612,24237182.37899999
2018,Batteries,Processed Material,Midstream,3001190.0779999997,819770.4260000002,2181419.652
2018,Batteries,Product Component,Midstream,225814.42933333322,682661.7093333334,-456847.2800000002
2018,Batteries,Process Equipment,Downstream,243542.17299999946,1193354.3947500014,-949812.2217500019
2018,Batteries,Process Equipment,Midstream,10836.257333333335,93463.05816666665,-82626.80083333331
2018,Batteries,Product Component,Downstream,4598.317666666666,6378.671666666666,-1780.3540000000003
2018,Batteries,Final Product,Final Product,1188.6979999999999,306432.65,-305243.95200000005
2019,Batteries,Product Component,Midstream,194072.0336666667,651094.173,-457022.13933333324
2019,Batteries,Process Equipment,Downstream,216547.4946666672,1187973.1409166667,-971425.6462499995
2019,Batteries,Raw Material,Upstream,29012337.716999996,747728.94,28264608.776999995
2019,Batteries,Processed Material,Midstream,2853093.8290000004,725177.464,2127916.365
2019,Batteries,Process Equipment,Midstream,12857.887499999999,54022.00783333332,-41164.120333333325
2019,Batteries,Product Component,Downstream,3545.4373333333333,5877.4259999999995,-2331.988666666666
2019,Batteries,Final Product,Final Product,1630.8895,358085.54650000005,-356454.65700000006
2020,Batteries,Product Component,Midstream,178108.04333333345,677066.4100000003,-498958.3666666668
2020,Batteries,Process Equipment,Downstream,181020.65783333353,996968.9863333334,-815948.3284999998
2020,Batteries,Raw Material,Upstream,31376696.796000004,536290.2019999999,30840406.594000004
2020,Batteries,Processed Material,Midstream,2579856.4590000007,579277.975,2000578.4840000006
2020,Batteries,Process Equipment,Midstream,13178.177999999996,56207.72949999999,-43029.55149999999
2020,Batteries,Product Component,Downstream,2571.9366666666665,5610.554,-3038.6173333333336
2020,Batteries,Final Product,Final Product,3540.5364999999997,379100.5675,-375560.031
2021,Batteries,Product Component,Midstream,251222.25766666658,821563.8426666663,-570341.5849999997
2021,Batteries,Process Equipment,Downstream,270411.4204999995,1215943.8404166666,-945532.419916667
2021,Batteries,Raw Material,Upstream,51076094.76599998,543897.53,50532197.23599998
2021,Batteries,Processed Material,Midstream,3216242.235,910464.7509999999,2305777.484
2021,Batteries,Process Equipment,Midstream,23419.013166666668,55545.324,-32126.310833333333
2021,Batteries,Product Component,Downstream,7596.697333333333,5669.033333333333,1927.6639999999998
2021,Batteries,Final Product,Final Product,1348.602,471019.2975000001,-469670.6955000001
2022,Batteries,Product Component,Midstream,315111.0823333334,1028509.0603333332,-713397.9779999999
2022,Batteries,Process Equipment,Downstream,201778.01500000042,1184528.0971666677,-982750.0821666673
2022,Batteries,Raw Material,Upstream,33932149.460999995,272366.81499999994,33659782.646
2022,Batteries,Processed Material,Midstream,3458845.764999999,1019323.7270000002,2439522.037999999
2022,Batteries,Process Equipment,Midstream,16846.732999999997,56463.41483333333,-39616.681833333336
2022,Batteries,Product Component,Downstream,14923.864666666665,6798.912666666667,8124.9519999999975
2022,Batteries,Final Product,Final Product,1601.7785,284688.19200000004,-283086.4135
2023,Batteries,Product Component,Midstream,283521.8480000002,884908.848,-601386.9999999998
2023,Batteries,Process Equipment,Downstream,379310.54183333257,1369701.3730000008,-990390.8311666683
2023,Batteries,Process Equipment,Midstream,21062.202166666673,78466.51500000001,-57404.312833333344
2023,Batteries,Raw Material,Upstream,35755716.52200002,322573.99399999995,35433142.52800002
2023,Batteries,Processed Material,Midstream,2917484.8549999995,799955.267,2117529.5879999995
2023,Batteries,Final Product,Final Product,1231.7565,288967.515,-287735.7585
2023,Batteries,Product Component,Downstream,9745.253999999999,4893.5909999999985,4851.6630000000005
2024,Batteries,Product Component,Midstream,290206.759,1084916.2413333333,-794709.4823333332
2024,Batteries,Process Equipment,Downstream,433112.09050000075,1533566.2398333345,-1100454.1493333336
2024,Batteries,Raw Material,Upstream,36028666.144,27487.062,36001179.082
2024,Batteries,Processed Material,Midstream,3582526.1070000003,979498.3010000002,2603027.806
2024,Batteries,Process Equipment,Midstream,26120.1825,70486.15316666666,-44365.97066666666
2024,Batteries,Final Product,Final Product,3184.0949999999993,339831.16500000004,-336647.07000000007
2024,Batteries,Product Component,Downstream,6579.997999999999,8609.576666666666,-2029.5786666666672
