year,tech,role,stage,exports,imports,balance
2015,Geothermal,Processed Material,Midstream,1192844.2384999997,144919.29050000003,1047924.9479999997
2015,Geothermal,Final Product,Final Product,482468.20999999985,355471.247,126996.96299999987
2015,Geothermal,Product Component,Downstream,139921.54100000006,424760.8709999999,-284839.32999999984
2015,Geothermal,Process Equipment,Downstream,107378.92533333333,521404.2546666666,-414025.3293333333
2015,Geothermal,Process Equipment,Midstream,49984.22633333333,320821.73566666665,-270837.5093333333
2015,Geothermal,Raw Material,Upstream,20360985.392999988,1295601.4280000003,19065383.96499999
2016,Geothermal,Product Component,Midstream,247409.59233333325,1148681.641333333,-901272.0489999998
2016,Geothermal,Final Product,Final Product,380790.1969999999,378261.48699999996,2528.7099999999627
2016,Geothermal,Processed Material,Midstream,1306541.3669999999,100582.535,1205958.832
2016,Geothermal,Product Component,Downstream,270627.415,532329.0109999998,-261701.59599999984
2016,Geothermal,Process Equipment,Downstream,121660.06083333337,494244.9733333333,-372584.9125
2016,Geothermal,Process Equipment,Midstream,155700.85483333326,384371.6803333334,-228670.82550000012
2016,Geothermal,Raw Material,Upstream,18686649.783000004,1074130.5969999998,17612519.186000004
2017,Geothermal,Product Component,Midstream,265087.79283333337,1163665.8431666668,-898578.0503333334
2017,Geothermal,Process Equipment,Downstream,150373.2043333333,222770.9086666667,-72397.70433333341
2017,Geothermal,Product Component,Downstream,163402.951,341659.049,-178256.098
2017,Geothermal,Raw Material,Upstream,23405502.99500001,1182428.9610000001,22223074.03400001
2017,Geothermal,Final Product,Final Product,122686.15100000003,135254.303,-12568.151999999987
2017,Geothermal,Processed Material,Midstream,1610387.3784999996,112070.64450000002,1498316.7339999997
2017,Geothermal,Process Equipment,Midstream,14831.229333333335,79483.66366666666,-64652.43433333332
2018,Geothermal,Product Component,Midstream,291691.6535000002,1277184.465,-985492.8114999998
2018,Geothermal,Process Equipment,Downstream,78764.30350000001,250931.15949999998,-172166.85599999997
2018,Geothermal,Process Equipment,Midstream,15140.8985,117931.2815,-102790.383
2018,Geothermal,Raw Material,Upstream,24911521.865999997,1136654.959,23774866.906999998
2018,Geothermal,Processed Material,Midstream,1916928.5675000004,127991.164,1788937.4035000002
2018,Geothermal,Product Component,Downstream,143288.32799999998,368501.327,-225212.999
2018,Geothermal,Final Product,Final Product,220425.878,170017.31,50408.568
2019,Geothermal,Product Component,Midstream,257929.84616666663,1267086.268833333,-1009156.4226666663
2019,Geothermal,Processed Material,Midstream,1703055.9745,112349.50549999997,1590706.469
2019,Geothermal,Process Equipment,Downstream,52428.44316666666,211971.01983333338,-159542.57666666672
2019,Geothermal,Process Equipment,Midstream,12574.544166666667,64419.24283333333,-51844.69866666666
