tech,code,name,role,stage,position,step,hs_rev_canonical,split_weight,codename,nace4,naics6_nace,naics6,naics6_all,naics_n_mapped
Batteries,903180,Cell Conditioning: Quality Sorting,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.3333333333333333,903180 | Cell Conditioning: Quality Sorting,2651,334515,334515,334515,1
Batteries,903180,Electrode Production; Quality Control,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,0.3333333333333333,903180 | Electrode Production; Quality Control,2651,334515,334515,334515,1
Batteries,903190,Electrode Production; Quality Control,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,1,903190 | Electrode Production; Quality Control,2651,334515,333310,333310,1
Biofuel,121292,Feedstock Input; Sugar Cane,Raw Material,Upstream,Upstream | Raw Material,1,HS17,1,121292 | Feedstock Input; Sugar Cane,0111,111998,111998,111998,1
Biofuel,121300,Feedstock Input; Ag-Waste,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,121300 | Feedstock Input; Ag-Waste,0111,111998,111998,111998,1
Biofuel,150790,Feedstock Input; Soybean Oil,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,150790 | Feedstock Input; Soybean Oil,1041,311224,311224,311224;311225,2
Biofuel,151000,Feedstock Input; Other Virgin Oil,Raw Material,Upstream,Upstream | Raw Material,1,HS17,1,151000 | Feedstock Input; Other Virgin Oil,1040,NA,NA,NA,NA
Biofuel,151329,Feedstock Input; Palm Oil,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,151329 | Feedstock Input; Palm Oil,1041,311224,311224,311224,1
Biofuel,151490,Feedstock Input; Rapeseed Oil,Raw Material,Upstream,Upstream | Raw Material,1,HS02,1,151490 | Feedstock Input; Rapeseed Oil,1040,NA,NA,NA,NA
Biofuel,151521,Feedstock Input: Corn Oil,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,151521 | Feedstock Input: Corn Oil,1062,311221,311221,311221,1
Biofuel,151529,Feedstock Input: Corn Oil,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,151529 | Feedstock Input: Corn Oil,1062,311221,311221,311221,1
Biofuel,151610,Feedstock Input; Tallow,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,151610 | Feedstock Input; Tallow,1041,311224,311225,311225,1
Biofuel,220720,Ethyl Alcohol (Denatured),Final Product,Final Product,Final Product | Final Product,4,HS22,0.5,220720 | Ethyl Alcohol (Denatured),2014,325199,325193,325193,1
Biofuel,220720,Ethyl Alcohol - Industrial Use,Final Product,Final Product,Final Product | Final Product,4,HS22,0.5,220720 | Ethyl Alcohol - Industrial Use,2014,325199,325193,325193,1
Biofuel,252220,CO2 Reduction (Liquid); Slaking Lime,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,252220 | CO2 Reduction (Liquid); Slaking Lime,2352,327410,327410,327410,1
Biofuel,260400,Nickel Ore,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,260400 | Nickel Ore,0729,212290,212230,212230,1
Biofuel,260500,Cobalt Ore,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,260500 | Cobalt Ore,0729,212290,212290,212290,1
Biofuel,260600,Aluminum Ore (Bauxite),Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,260600 | Aluminum Ore (Bauxite),0729,212290,212290,212290,1
Biofuel,261100,Tungsten Ore,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,261100 | Tungsten Ore,0729,212290,212290,212290,1
Biofuel,261310,Molybdenum Ore,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,261310 | Molybdenum Ore,0729,212290,212290,212290,1
